abráchio	m. | gr.
abrachiocephalia	f. | Terat.
abrachiocéphalo	m. | Terat. | gr.
abraço	m.
abraêmo	m.
abrahâmico	adj.
abrancaçado	adj. | Prov. minh. | Cf.
abrandamento	m.
abrandar	v. t. | ﬁg. | v. i.
abrandecer	v. t. | V.
abranger	v. t. | Prov. beir. | lat.
abraquia	f. | Cp.
abráquio	m. | gr.
abraquiocefalia	f. | Terat.
abraquiocéfalo	m. | Terat. | gr.
abrasadamente	adv.
abrasador	adj.
abrasamento	m.
abrasante	adj.
abrasão	f. | Cir. | lat.
abrasar	v. t. | ﬁg.
abrasear	v. t. | Cf.
abrasileirado	adj.
abrasileirar	v. t.
abrasoar	v. t.
abrasonar	v. t. | Cf. | al.
abrastol	m.
abraxas	m. pl.
abrazite	f.
abre-boca	m.
abre-ilhós	m.
abrecu	m. | Prov. dur.
ábrego	m. | Ant. | lat.
abrejeirado	adj.
abrenhar	v. t. | V.
abrenunciação	f.
abrenunciar	v. t.
abrenúncio!	interj. | lat.
abreptício	adj. | lat.
abretanhado	adj.
abreu	m. | Bras.
abrevar	v. t. | Ant. | Cf. | v. i. | loc. | cit. | f. | V. | fr.
abreviação	f.
abreviadamente	adj.
abreviado	adj.
abreviador	m.
abreviamento	m.
abreviar	v. t. | lat.
abreviativo	adj.
abreviatura	f.
abricó	m. | fr.
abricoqueiro	m.
abricote	m. | fr.
abricoteiro	m.
abrideira	f. | Bras.
abridor	m.
abriga	f. | Cf.
abrigada	f.
abrigadoiro	m.
abrigador	m. e adj.
abrigadouro	m.
abrigar	v. | t. | lat.
abrigo	m. | lat.
abrigoír	v. i. | Açor.
abrigoso	adj. | Cf.
abril	m. | ﬁg. | lat.
abrilada	f.
abrilhantar	v. t.
abrimento	m.
abrir	v. t. | as. | v. i. | V. | p. | lat.
abro	m. | gr.
abrocadado	adj.
abrochador	m.
abrochadura	f.
abrochar	v. t.
abrogação	f. | lat.
abrogador	m. | lat.
abrogar	v. t. | lat.
abrogativo	adj.
abrogatório	adj.
abrolhador	adj.
abrolhal	m.
abrolhamento	m.
abrolhar	v. t. | v. i.
abrolho	m. | ﬁg.
abrolhoso	adj. | ﬁg.
abroma	m.
abronceiro	m. | Prov. trasm.
abrónia	f.
abronzear	v. t. | V.
abroquelar	v. t.
abróstolo	m. | fam. | gr.
abrotal	adj. | des.
abrótano	m. | corr.
abrotar	v. i. | V.
abrótea	f. | gr.
abroteal	m.
abrótega	f. | Prov. beir.
abrótia	f.
abrótica	f.
abrótiga	f. | Cf. | rev.
abrotinas	f. pl. | Prov. alg.
abrótono	m. | gr.
abrotonoide	f. | gr.
abrumar	v. t. | Cf.
abrunhal	m.
abrunhar	v. t. | t.
abrunheiro	m.
abrunho	m. | lat.
abrunho-do-duque	m.
abrunho-do-rei	m.
abrupção	f. | lat.
abruptamente	adv.
abruptela	f.
abrupto	adj. | lat.
abruso	m. | gr.
abrutadamente	adv.
abrutado	adj.
abrutalhado	adj.
abrutalhar-se	v. p.
abrutamento	m.
abrutar	v. t.
abrutecer	v. t.
abs	pref.
absceder	v. i. | lat.
abscesso	m. | lat.
abscisão	f. | lat.
abscissa	f. | Geom. | num. | lat.
abscondado	adv. | Ant. | as.
absconder	v. t. | V.
abscônsia	f. | b. lat.
absconso	m. e adj. | Cf.
absência	f. | Ant. | V.
absentar	v. t. | Ant. | V.
absente	adj. | Ant.
absentismo	m.
absentista	m.
ábsida	f.
absidal	adj.
ábside	f. | lat.
absintar	v. t.
absintato	m. | Sal. | lat.
absinthar	v. t.
absinthato	m. | Sal. | lat.
